00015-000011|hEHSaSEkASTEGIOKUFTEGIMIKARDi
00016-000055|iNOKTEYEHAFTOMiHAMIsENEGAHBaNIkOsQALBDARZENDaNPEYDaMIsAVADi
00016-000056|hEMRUZNOBATEsIFThIVaNBUDi
00016-000057|iNEGAHBaNIBacEHREhITARSNaKihAMMaQALBIhAZTALai
00016-000058|MAhMULANBEZENDaNIHaSAkTNEMIGEREFTiKASIRaBARaYEhENFERaDINEMIFERESTaDZENDaNIHaRaNEMIZADihAZHAMEBEHTARiKASIRaJELOYEBaLaDASTIhAsiSARZANEsNEMIKARDi
00016-000059|BARaYEHAMINkIYaLEcOkOFRaHATsODiVAKAMIDIGARDARTAkTMaNDi
00016-000060|TAkTHaYEBaZDasTGaHcANDTABAQEBUDANDicOkOFiTABAQEYEDOVVOMihELaihOsaYiKEsIsTABAQEYESEVVOMiVaVBOVINSKIiKaPITaNESaBEQENIRUYEDARYaYIHAMMiTABAQEYEhAVVALMIkaBIDiKaRZOBaLEHaTAMaMsODiDOMAhMURBARaYEhESTEFaDEhAZhaBGARMiBEHJaNEHAMhOFTaDANi
00016-000061|iJUsKaREDASTEYEBISTiLENGEiPUTINIRaBEHSAMTEsaNPARTKARDi
00016-000062|icEMARGETUNEi
00016-000063|iSAROSEDaikaBIDiDARTARAFEDIGAREBaZDasTGaHiSARPARASTVaVMOhaVENEYEKIhAZGORUHHaiBaHAMMHARFMIZADANDi
00016-000064|iZaHERANMAShULEPAksENaNMEQDaRIhAZJIREsaNRaDOZDIDEBUDiYAhNIQARaRhASTicANDNAFARhAZhAhZaYEDASTEiQAZaYEKAMTARIBEkORADi
00016-000065|icENINhAkBaRIBARaYEZENDaNIYaNiHOKMEihENFERaDIBahAhMaLEsaQQERaDaRADi
00016-000066|icONBaYADsABRaiBasEKAMEiGOROSNEBEGOZARaNADi
00016-000067|icOkOFRUYEiTORssAKEPORsODEBakaKARREBEkODAsPIcIDiDARDELAshaREZUMIKARDiYaHaLAsBEHTARsAVADi
00016-000068|iYaTAMaMKONADi
00016-000069|TAkTLARZIDi
00016-000070|hELahOsaYiVaVBOVINSKIhAZTAkTPaYINhaMADANicOkOFSEDaYEihOsaYRaMIsENIDi
00016-000071|iKEsIsDOhaMIkaNDi
00016-000072|BOVINSKIHAMMBAhDhAZhaMADANhAZDASTsUYIBOLANDGOFTi
00016-000073|iZENDaNIYaNBasENIDANSEDaYETaTaRhAZJaYEsaNPARIDANDiDARKASRIhAZSaNIYELEBaSPUsIDANiVaVBIRUNZADANi
00016-000074|TaTaRDONBaLEsEKaRBAhDIhAsMIGAsTi
00016-000075|hAMaDASTEkaLIMaNDi
00016-000076|icOkOFZIRELABkODAsROLAhNATMIKARDi
00016-000077|HAMIsEJOZhEihAVVALINNAFARaTBIDaRMIsODihAMahEMRUZEiHaLAskOsNABUDihOhALBATETaTaRHAMMGUsIBARaYEsENIDANHARFHaYEZENDaNIYaNNADasTi
00016-000078|iNOKTEYEiHAsTOMiHARZENDaNIsOMaREhIDaRADiKEHBaYADQaBELEDIDANBasADi
00016-000079|icOkOFihaHIKEsIDiVALEBaSHaYAsRaiTANKARDiRUYEsALVaRiKOTihOHATTaKOLaHAsisOMaREhINEVEsTEBUDi
00016-000080|iZENDaNIYaNDARSOKUTiRAFTANcOkOFRaNEGaHKARDANDiKaRIhAZDASTEsaNBARNEMIhaMADiFAQATiTIYURINMITAVaNESTBEHDaDicOkOFBERESADihAMaTUYEDAFTAREiTARHOBARNaMEBUDi
00016-000081|VAQTIVaREDMOHAVVATEsODANDiSARMaTaMAQZEhOSTOkaNEcOkOFiNOFUZKARDiNURhAFKANHaTaRIKIRaMIsEKaFTANDi
00016-000082|iNUREZIYaDEsaNMaNEhEDIDANSETaREHaBUDi
00016-000083|BAQIYYEZENDaNIHaiMESLEMORQiSAREsaNRaTUYEKOTEsaNBORDEBUDANDi
00016-000084|iYEKIBEHhANBaRMIRAFTiDIGARIHOBUBaTBARaYEhasPAZkaNEMIBORDiHARKASIKaRIDasTihAMMaHAMEiBEYEKcIZEVaHEDFEKRiMIKARDANDi
00016-000085|icETORSARMaYEVAHsATNaKEhEMRUZRaiDAVaMBIYaVARANDi
00016-000086|iNEGAHBaNTaTaRiBaSINEYESETABRRaHMIRAFTihENGaRSARMaBARaYAsihAHAMMIYYATINADaRADi
00016-000087|hAZKENaRESakTEMaNESELLULHaYEhENFERaDIVANaNVaYIGOZAsTANDi
00016-000088|iNOKTEYENOHOMi
00016-000089|hAGARDAMaBIsTARhAZMANFIYEcEHELOYEKDARAJEsAVADi
00016-000090|ikABARIhAZKaRKARDANiNISTi
00016-000091|TUYERaHhAZKENaRETIRAKIGOZasTANDiRUYETIRAKDAMaSANJEJIVEhIBUDi
00016-000092|icOkOFBaDEQQATNEGaHAsKARDi
00016-000093|DAMaBEHBISTOiPANJHAMNARESIDEBUDihALBATESAQFERUYEDAMaSANJBahESMIsODi
00016-000094|DAMaRaKAMTARNEsaNDAHADi
00016-000095|BEHDAFTAREKaRKONaNRAFTANDi
00016-000096|ikABARIhAZhENFERaDINABUDi
00016-000097|TaTaRFAQATDONBaLEKASIBARaYETAMIZKARDANhOTaQENEGAHBaNIMIGAsTi
00016-000098|TAMIZKaRIKaRiRaHATIBUDi
00016-000099|BIsTAREZENDaNIHaBARaYAsSARODASTMIsEKASTANDiQABLANYEKIhAZZENDaNIHaiBaREsVENEZaFATcIYESaBEThOTaQHaYEKaRKONaNiVaViRAhISsODEBUDi
